Feature,number of features selected,Coefficient,StdErr,R2,MSE
state_abbr_ME,78,-0.09676138050001996,0.042277275713759506,0.49429509947632944,0.03115997516439563
state_abbr_MO,78,0.0008298890946265102,0.027996546325963313,0.49429509947632944,0.03115997516439563
state_abbr_NC,78,0.2105965858651118,0.02693854040968777,0.49429509947632944,0.03115997516439563
state_abbr_ND,78,-0.11545894067862691,0.06277827140292815,0.49429509947632944,0.03115997516439563
state_abbr_NH,78,-0.08685209631973893,0.03829560555204531,0.49429509947632944,0.03115997516439563
state_abbr_NJ,78,-0.04591901601941259,0.01562764873969907,0.49429509947632944,0.03115997516439563
state_abbr_NM,78,0.13526138020824122,0.054596932951665914,0.49429509947632944,0.03115997516439563
state_abbr_NY,78,0.03685458647376139,0.027199345425323863,0.49429509947632944,0.03115997516439563
state_abbr_OH,78,-0.02190678969851068,0.018992402070988366,0.49429509947632944,0.03115997516439563
state_abbr_OR,78,-0.0475781971976482,0.031919134895064975,0.49429509947632944,0.03115997516439563
state_abbr_PA,78,-0.055831136286788034,0.019623643599406992,0.49429509947632944,0.03115997516439563
state_abbr_RI,78,-0.045259300405162003,0.03462364097157592,0.49429509947632944,0.03115997516439563
state_abbr_SC,78,0.30101245605581994,0.033616131304456544,0.49429509947632944,0.03115997516439563
state_abbr_TN,78,0.10989072036848299,0.030418845264769987,0.49429509947632944,0.03115997516439563
state_abbr_TX,78,0.06653165623557651,0.017041468967298995,0.49429509947632944,0.03115997516439563
state_abbr_UT,78,-0.09359968089388931,0.04050363494085599,0.49429509947632944,0.03115997516439563
state_abbr_VA,78,-0.01916395796612493,0.03127654861196924,0.49429509947632944,0.03115997516439563
state_abbr_VT,78,-0.11761185660900893,0.08670015976960331,0.49429509947632944,0.03115997516439563
state_abbr_WA,78,0.03331739973355014,0.028732932701496253,0.49429509947632944,0.03115997516439563
state_abbr_WI,78,-0.1029001358576928,0.024175216995629103,0.49429509947632944,0.03115997516439563
