Feature,number of features selected,Coefficient,StdErr,R2,MSE
state_abbr_NC,89,0.1499644070140648,0.028870418987903386,0.4903148111469724,0.0363792655484411
state_abbr_ND,89,-0.1718549549890618,0.06413902234344164,0.4903148111469724,0.0363792655484411
state_abbr_NH,89,-0.14116142231516554,0.03966404374416271,0.4903148111469724,0.0363792655484411
state_abbr_NJ,89,-0.10138627774277445,0.018102847137423692,0.4903148111469724,0.0363792655484411
state_abbr_NM,89,0.08096791175748867,0.05572695163006785,0.4903148111469724,0.0363792655484411
state_abbr_OH,89,-0.0770382082151775,0.021242852233682743,0.4903148111469724,0.0363792655484411
state_abbr_OK,89,-0.03883760371974836,0.031608333124824646,0.4903148111469724,0.0363792655484411
state_abbr_OR,89,-0.10261024974457167,0.033368375416076464,0.4903148111469724,0.0363792655484411
state_abbr_PA,89,-0.11151655307241008,0.021796837973421572,0.4903148111469724,0.0363792655484411
state_abbr_RI,89,-0.1021902739443828,0.036081027971102075,0.4903148111469724,0.0363792655484411
state_abbr_SC,89,0.24310435000139982,0.035048383251506214,0.4903148111469724,0.0363792655484411
state_abbr_SD,89,-0.1048504736937962,0.06059938181808203,0.4903148111469724,0.0363792655484411
state_abbr_TN,89,0.05457245662546683,0.03200448579713637,0.4903148111469724,0.0363792655484411
state_abbr_TX,89,0.012567860901560554,0.01950659522954665,0.4903148111469724,0.0363792655484411
state_abbr_UT,89,-0.14917654960332793,0.04171343987946417,0.4903148111469724,0.0363792655484411
state_abbr_VA,89,-0.07433338328835443,0.03262653945538968,0.4903148111469724,0.0363792655484411
state_abbr_VT,89,-0.17189841839320205,0.08776610290369634,0.4903148111469724,0.0363792655484411
state_abbr_WI,89,-0.1583025127905568,0.025902559570928026,0.4903148111469724,0.0363792655484411
state_abbr_WV,89,-0.05737880072271129,0.04810648737610293,0.4903148111469724,0.0363792655484411
state_abbr_WY,89,-0.09834158691465922,0.06625892068051245,0.4903148111469724,0.0363792655484411
