,number of features selected,Coefficient,StdErr,R2,MSE
32,2303,-2.4822875088332676e-15,1.3712256624576205e-16,0.22057649126697887,0.04584850864574831
33,2303,1.7824858950199127e-15,9.954068344652225e-17,0.22057649126697887,0.04584850864574831
34,2303,-1.7708038771092403e-15,1.0037919554498816e-16,0.22057649126697887,0.04584850864574831
35,2303,-4.4673304796316886e-15,2.503195724518266e-16,0.22057649126697887,0.04584850864574831
36,2303,-2.2028582217628296e-15,1.2712559021393044e-16,0.22057649126697887,0.04584850864574831
37,2303,-5.814416640305828e-16,3.434146078058735e-17,0.22057649126697887,0.04584850864574831
38,2303,-3.1909690310429984e-15,1.7839873823697864e-16,0.22057649126697887,0.04584850864574831
39,2303,2.3139183475020552e-15,1.326478970019546e-16,0.22057649126697887,0.04584850864574831
40,2303,-1.6013122012565538e-15,9.118469780077423e-17,0.22057649126697887,0.04584850864574831
41,2303,2.674339819590234e-15,1.4758487791482153e-16,0.22057649126697887,0.04584850864574831
42,2303,-5.48970611513199e-16,3.033110594818087e-17,0.22057649126697887,0.04584850864574831
43,2303,1.261041935077165e-15,7.088664488183321e-17,0.22057649126697887,0.04584850864574831
44,2303,1.1825247089533359e-15,7.05923705558044e-17,0.22057649126697887,0.04584850864574831
45,2303,-7.387806101266796e-16,4.383788432472764e-17,0.22057649126697887,0.04584850864574831
46,2303,9.058890598604308e-16,5.237075106326928e-17,0.22057649126697887,0.04584850864574831
47,2303,1.4300872054782124e-16,1.1415204978429515e-17,0.22057649126697887,0.04584850864574831
48,2303,7.427702939852535e-16,4.53892536239955e-17,0.22057649126697887,0.04584850864574831
49,2303,2.712303932510289e-16,1.925505192070532e-17,0.22057649126697887,0.04584850864574831
50,2303,6.2210124427759555e-18,3.909127016576288e-18,0.22057649126697887,0.04584850864574831
51,2303,-4.477002751205141e-16,3.421448342256437e-17,0.22057649126697887,0.04584850864574831
52,2303,-5.685104479331951e-17,7.908623984045968e-18,0.22057649126697887,0.04584850864574831
53,2303,9.218222390188263e-18,5.258804441927199e-18,0.22057649126697887,0.04584850864574831
54,2303,8.212182417694135e-17,8.887850481561952e-18,0.22057649126697887,0.04584850864574831
55,2303,-2.389429510194936e-17,7.631480338759534e-18,0.22057649126697887,0.04584850864574831
56,2303,-5.451459781717364e-17,5.320534613473298e-18,0.22057649126697887,0.04584850864574831
57,2303,2.2547424756002006e-16,1.8318074682622722e-17,0.22057649126697887,0.04584850864574831
58,2303,1.0916014652469417e-16,9.967713677493319e-18,0.22057649126697887,0.04584850864574831
59,2303,2.0379986990553568e-16,1.7264934193669602e-17,0.22057649126697887,0.04584850864574831
60,2303,-1.544378472713525e-16,1.349220800936752e-17,0.22057649126697887,0.04584850864574831
61,2303,-3.8615640830873685e-16,3.1974339356281933e-17,0.22057649126697887,0.04584850864574831
62,2303,4.1223276213101163e-16,2.7765073164399836e-17,0.22057649126697887,0.04584850864574831
63,2303,7.817045064283305e-17,7.661282272623641e-18,0.22057649126697887,0.04584850864574831
64,2303,7.164275087974637e-16,5.065040177679672e-17,0.22057649126697887,0.04584850864574831
65,2303,-2.8407745805762574e-16,2.5737898197677065e-17,0.22057649126697887,0.04584850864574831
66,2303,1.773894437041576e-17,5.076318034706287e-18,0.22057649126697887,0.04584850864574831
67,2303,-1.9714927265012153e-16,1.9387459129286247e-17,0.22057649126697887,0.04584850864574831
68,2303,-4.337165415136105e-16,3.918687096889725e-17,0.22057649126697887,0.04584850864574831
69,2303,-1.1471180562282473e-17,6.915762122980184e-18,0.22057649126697887,0.04584850864574831
70,2303,-2.8145032447368853e-16,2.84490430262043e-17,0.22057649126697887,0.04584850864574831
71,2303,-3.908454792607447e-17,5.503694826075262e-18,0.22057649126697887,0.04584850864574831
72,2303,-5.533632885678094e-17,8.501219884103625e-18,0.22057649126697887,0.04584850864574831
73,2303,2.5220478392650207e-16,4.088331173340398e-17,0.22057649126697887,0.04584850864574831
74,2303,-7.911877716060158e-17,1.1503850538423738e-17,0.22057649126697887,0.04584850864574831
75,2303,-3.4107664453946854e-17,9.901857884269337e-18,0.22057649126697887,0.04584850864574831
76,2303,7.83859143679965e-17,1.8232503271696637e-17,0.22057649126697887,0.04584850864574831
77,2303,-3.862473828654675e-17,7.429978340611519e-18,0.22057649126697887,0.04584850864574831
78,2303,-3.643440403697684e-18,6.645774749164006e-18,0.22057649126697887,0.04584850864574831
79,2303,7.44865863836665e-17,2.0938483098646095e-17,0.22057649126697887,0.04584850864574831
80,2303,-4.0924508021659066e-18,3.651096659646572e-18,0.22057649126697887,0.04584850864574831
81,2303,3.224173701417795e-17,1.2099859506279492e-17,0.22057649126697887,0.04584850864574831
82,2303,1.508993617376358e-17,7.205762483439128e-18,0.22057649126697887,0.04584850864574831
83,2303,-8.005401038462037e-18,4.030175967749144e-18,0.22057649126697887,0.04584850864574831
84,2303,-2.5190599091494714e-17,9.461789276777237e-18,0.22057649126697887,0.04584850864574831
85,2303,-5.98899778389704e-17,1.2435694890138143e-17,0.22057649126697887,0.04584850864574831
86,2303,2.670736223818684e-17,5.229306284250055e-18,0.22057649126697887,0.04584850864574831
87,2303,-2.5630896259942364e-17,5.219354329502025e-18,0.22057649126697887,0.04584850864574831
88,2303,1.9156692468607977e-17,7.922683700946344e-18,0.22057649126697887,0.04584850864574831
89,2303,-1.4352002782102538e-17,2.3729189106811777e-18,0.22057649126697887,0.04584850864574831
90,2303,-1.412185252907219e-17,4.785496452507093e-18,0.22057649126697887,0.04584850864574831
91,2303,7.478130699925398e-18,3.3539012583934435e-18,0.22057649126697887,0.04584850864574831
92,2303,3.7157689994891786e-17,1.4942062692599864e-17,0.22057649126697887,0.04584850864574831
93,2303,2.1528686358038967e-17,3.867674873581972e-18,0.22057649126697887,0.04584850864574831
94,2303,-4.798563293823064e-17,9.222105195239449e-18,0.22057649126697887,0.04584850864574831
95,2303,-1.120550920411256e-17,2.5759195515222888e-18,0.22057649126697887,0.04584850864574831
96,2303,-1.1708097608185115e-17,3.2367497357879708e-18,0.22057649126697887,0.04584850864574831
97,2303,-9.65080425278618e-18,5.215922847979921e-18,0.22057649126697887,0.04584850864574831
98,2303,-5.227768035794762e-18,5.14795069708536e-18,0.22057649126697887,0.04584850864574831
99,2303,-1.668721258328786e-17,7.184838998271057e-18,0.22057649126697887,0.04584850864574831
100,2303,2.648841190082971e-17,8.801742387461908e-18,0.22057649126697887,0.04584850864574831
101,2303,3.0840349391899556e-17,6.37126745131437e-18,0.22057649126697887,0.04584850864574831
102,2303,9.052649900457065e-18,2.052969136218812e-18,0.22057649126697887,0.04584850864574831
103,2303,2.8841313953219365e-17,6.043872021675056e-18,0.22057649126697887,0.04584850864574831
104,2303,-2.2674671037430983e-17,8.94762677806866e-18,0.22057649126697887,0.04584850864574831
105,2303,6.475704145765966e-18,2.547904476137446e-18,0.22057649126697887,0.04584850864574831
106,2303,-2.566051772210111e-18,3.021752074609002e-18,0.22057649126697887,0.04584850864574831
107,2303,-1.9121096483174212e-17,7.438249194266578e-18,0.22057649126697887,0.04584850864574831
108,2303,-0.0020174091936837188,0.010272493030530714,0.22057649126697887,0.04584850864574831
109,2303,1.878807037875845e-18,2.9941640801473763e-18,0.22057649126697887,0.04584850864574831
110,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
111,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
112,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
113,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
114,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
115,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
116,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
117,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
118,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
119,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
120,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
121,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
122,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
123,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
124,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
125,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
126,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
127,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
128,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
129,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
130,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
131,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
132,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
133,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
134,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
135,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
136,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
137,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
138,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
139,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
